OBJECTID *,Shape *,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area
1,Polygon,Ainabkoi,KE027144,<Null>,<Null>,<Null>,Uasin Gishu,KE027,Kenya,KE,11/3/17,10/31/19,<Null>,1.746986,0.040829
2,Polygon,Ainamoi,KE035190,<Null>,<Null>,<Null>,Kericho,KE035,Kenya,KE,11/3/17,10/31/19,<Null>,0.917307,0.019957
3,Polygon,Aldai,KE029152,<Null>,<Null>,<Null>,Nandi,KE029,Kenya,KE,11/3/17,10/31/19,<Null>,1.402637,0.038
4,Polygon,Alego Usonga,KE041234,<Null>,<Null>,<Null>,Siaya,KE041,Kenya,KE,11/3/17,10/31/19,<Null>,1.081354,0.049357
5,Polygon,Awendo,KE044254,<Null>,<Null>,<Null>,Migori,KE044,Kenya,KE,11/3/17,10/31/19,<Null>,0.743915,0.021365
6,Polygon,Bahati,KE032174,<Null>,<Null>,<Null>,Nakuru,KE032,Kenya,KE,11/3/17,10/31/19,<Null>,0.797055,0.024234
7,Polygon,Balambala,KE007028,<Null>,<Null>,<Null>,Garissa,KE007,Kenya,KE,11/3/17,10/31/19,<Null>,3.937161,0.393245
8,Polygon,Banissa,KE009040,<Null>,<Null>,<Null>,Mandera,KE009,Kenya,KE,11/3/17,10/31/19,<Null>,2.799368,0.247446
9,Polygon,Baringo Central,KE030159,<Null>,<Null>,<Null>,Baringo,KE030,Kenya,KE,11/3/17,10/31/19,<Null>,1.332541,0.053758
10,Polygon,Baringo North,KE030158,<Null>,<Null>,<Null>,Baringo,KE030,Kenya,KE,11/3/17,10/31/19,<Null>,1.718592,0.132741
11,Polygon,Baringo South,KE030160,<Null>,<Null>,<Null>,Baringo,KE030,Kenya,KE,11/3/17,10/31/19,<Null>,2.611854,0.148415
12,Polygon,Belgut,KE035192,<Null>,<Null>,<Null>,Kericho,KE035,Kenya,KE,11/3/17,10/31/19,<Null>,1.434854,0.031094
13,Polygon,Bobasi,KE045264,<Null>,<Null>,<Null>,Kisii,KE045,Kenya,KE,11/3/17,10/31/19,<Null>,0.682056,0.019528
14,Polygon,Bomachoge Borabu,KE045263,<Null>,<Null>,<Null>,Kisii,KE045,Kenya,KE,11/3/17,10/31/19,<Null>,0.44317,0.009275
15,Polygon,Bomachoge Chache,KE045265,<Null>,<Null>,<Null>,Kisii,KE045,Kenya,KE,11/3/17,10/31/19,<Null>,0.504551,0.008287
16,Polygon,Bomet Central,KE036197,<Null>,<Null>,<Null>,Bomet,KE036,Kenya,KE,11/3/17,10/31/19,<Null>,1.00095,0.021851
17,Polygon,Bomet East,KE036196,<Null>,<Null>,<Null>,Bomet,KE036,Kenya,KE,11/3/17,10/31/19,<Null>,1.097686,0.024847
18,Polygon,Bonchari,KE045261,<Null>,<Null>,<Null>,Kisii,KE045,Kenya,KE,11/3/17,10/31/19,<Null>,0.400134,0.010292
19,Polygon,Bondo,KE041236,<Null>,<Null>,<Null>,Siaya,KE041,Kenya,KE,11/3/17,10/31/19,<Null>,1.513095,0.106468
20,Polygon,Borabu,KE046273,<Null>,<Null>,<Null>,Nyamira,KE046,Kenya,KE,11/3/17,10/31/19,<Null>,1.186568,0.023828
21,Polygon,Budalangi,KE040231,<Null>,<Null>,<Null>,Busia,KE040,Kenya,KE,11/3/17,10/31/19,<Null>,0.641532,0.025236
22,Polygon,Bumula,KE039219,<Null>,<Null>,<Null>,Bungoma,KE039,Kenya,KE,11/3/17,10/31/19,<Null>,0.971189,0.028057
23,Polygon,Bura,KE004020,<Null>,<Null>,<Null>,Tana River,KE004,Kenya,KE,11/3/17,10/31/19,<Null>,4.987772,1.105157
24,Polygon,Buret,KE035191,<Null>,<Null>,<Null>,Kericho,KE035,Kenya,KE,11/3/17,10/31/19,<Null>,0.774758,0.02565
25,Polygon,Butere,KE037207,<Null>,<Null>,<Null>,Kakamega,KE037,Kenya,KE,11/3/17,10/31/19,<Null>,0.798038,0.016998
