County,Province
Nairobi,Nairobi
Nyandarua,Central
Nyeri,Central
Kirinyaga,Central
Murang'a,Central
Kiambu,Central
Mombasa,Coast
Kwale,Coast
Kilifi,Coast
Tana River,Coast
Lamu,Coast
Taita Taveta,Coast
Marsabit,Eastern
Isiolo,Eastern
Meru,Eastern
Tharaka-Nithi,Eastern
Embu,Eastern
Kitui,Eastern
Machakos,Eastern
Makueni,Eastern
Garissa,North Eastern
Wajir,North Eastern
Mandera,North Eastern
Siaya,Nyanza
Kisumu,Nyanza
Migori,Nyanza
Homa Bay,Nyanza
Kisii,Nyanza
Nyamira,Nyanza
Turkana,Rift Valley
West Pokot,Rift Valley
Samburu,Rift Valley
Trans-Nzoia,Rift Valley
Baringo,Rift Valley
Uasin Gishu,Rift Valley
Elgeyo Marakwet,Rift Valley
Nandi,Rift Valley
Laikipia,Rift Valley
Nakuru,Rift Valley
Narok,Rift Valley
Kajiado,Rift Valley
Kericho,Rift Valley
Bomet,Rift Valley
Kakamega,Western
Vihiga,Western
Bungoma,Western
Busia,Western
